#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
fa2 14A 6 even-skipped knirps hunchback

#Data without background

#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - kni, channel 3 - hb>
466 31.00 23.24 150.14 0.00 147.33
467 30.92 58.58 203.46 1.88 136.45
468 31.11 19.98 139.74 1.01 128.32
469 31.03 26.24 171.30 2.08 145.17
470 31.07 29.32 166.10 1.70 163.92
471 31.10 45.72 192.77 4.50 166.65
472 31.12 53.98 218.37 0.37 153.12
473 31.05 89.41 14.67 0.00 84.85
474 31.27 87.81 21.31 0.00 91.20
475 31.25 36.48 179.10 3.85 178.83
476 31.38 56.43 180.85 0.53 151.23
477 31.28 64.44 100.49 0.00 129.94
478 31.32 11.66 122.96 1.25 105.33
479 31.48 73.50 50.42 0.00 129.15
480 31.53 40.57 196.19 3.01 176.60
481 31.59 43.16 215.95 1.69 161.80
482 31.71 75.79 31.58 0.00 112.68
483 31.79 49.45 214.41 0.25 151.39
484 31.83 78.38 25.61 0.00 106.79
485 31.82 59.68 116.50 0.00 161.07
486 31.98 83.94 26.01 0.00 92.07
487 31.90 38.50 195.12 1.87 168.76
488 31.90 52.25 206.03 0.00 147.25
489 31.99 81.15 23.86 0.00 97.59
490 31.92 32.22 185.68 2.26 191.46
491 31.92 34.51 207.83 2.81 163.03
492 31.91 68.87 55.35 0.00 132.46
493 32.01 71.19 33.06 0.00 125.51
494 32.11 13.81 117.08 0.88 113.20
495 32.03 47.27 205.34 0.00 152.67
496 32.02 61.78 90.45 0.00 145.95
497 32.07 16.54 128.76 0.42 128.11
498 32.08 21.65 157.56 0.86 120.13
499 32.14 27.60 184.70 0.88 145.65
500 32.14 24.92 172.33 0.00 132.00
501 32.09 66.47 52.33 0.00 133.66
502 32.43 86.93 24.04 0.00 87.58
503 32.34 89.90 30.99 0.00 81.07
504 32.31 30.05 205.09 0.82 160.02
505 32.34 44.83 194.53 2.77 167.95
506 32.28 54.86 132.85 0.00 148.94
507 32.48 19.02 129.07 0.00 135.57
508 32.42 10.12 84.35 1.63 108.97
509 32.37 63.96 48.80 0.00 156.00
510 32.50 57.78 98.36 0.00 156.72
511 32.60 36.56 199.41 0.04 148.64
512 32.45 41.62 207.57 2.56 157.31
513 32.71 50.87 149.69 0.18 177.34
514 32.77 73.60 23.53 0.00 114.43
515 32.81 76.56 23.32 0.00 116.87
516 32.99 33.41 202.39 1.50 170.77
517 32.97 38.97 180.90 0.97 156.12
518 33.09 23.06 137.03 0.00 141.26
519 33.16 48.87 114.70 2.01 175.21
520 33.13 53.23 87.75 0.00 167.85
521 33.30 60.47 38.38 0.00 148.77
522 33.20 67.67 25.23 0.00 126.10
523 33.19 79.59 29.47 0.00 108.74
524 33.15 46.66 175.25 2.00 182.85
525 33.24 70.27 23.73 0.00 131.69
526 33.17 43.36 178.66 0.00 142.89
527 33.23 65.26 26.32 0.00 129.87
528 33.35 82.44 46.78 0.00 101.36
529 33.42 31.20 175.72 0.00 157.19
530 33.35 62.84 26.02 0.00 155.10
531 33.35 25.66 150.39 0.00 151.79
532 33.39 28.24 167.66 0.00 149.95
533 33.53 11.23 51.90 0.26 120.36
534 33.42 14.11 75.20 0.17 118.92
535 33.52 20.77 89.86 0.00 139.86
536 33.32 41.16 168.95 0.00 180.66
537 33.46 55.73 43.85 0.00 153.24
538 33.19 77.45 20.51 0.00 98.43
539 33.49 16.88 67.28 0.00 124.73
540 33.47 91.40 60.39 0.47 80.50
541 33.64 85.14 68.49 0.01 98.64
542 33.56 35.37 170.51 0.00 156.35
543 33.59 58.25 33.71 0.00 152.99
544 33.85 8.69 35.40 0.46 95.43
545 33.71 88.63 71.32 0.00 92.81
546 33.85 51.22 72.52 0.72 155.39
547 33.97 37.34 120.96 0.00 166.40
548 33.88 45.22 109.56 0.00 195.77
549 33.93 75.25 24.67 0.00 122.26
550 33.91 72.35 22.22 0.00 120.87
551 34.05 39.77 104.54 0.00 174.13
552 34.23 33.52 134.08 0.00 170.43
553 34.10 86.35 70.35 0.00 83.19
554 34.18 23.91 93.62 0.00 143.37
555 34.31 77.60 55.80 0.00 121.17
556 34.27 42.52 72.35 0.00 173.05
557 34.26 65.70 22.78 0.00 138.26
558 34.31 29.52 116.44 0.00 166.27
559 34.35 53.57 36.30 0.00 159.22
560 34.42 68.52 19.21 0.00 120.57
561 34.45 18.92 47.51 0.00 133.79
562 34.35 49.11 43.31 0.00 166.46
563 34.51 80.25 87.44 0.00 107.01
564 34.41 26.49 96.84 0.00 124.87
565 34.38 62.38 15.79 0.00 138.80
566 34.60 12.93 33.16 1.19 111.61
567 34.65 46.99 41.66 0.00 175.27
568 34.64 56.12 23.72 0.00 153.29
569 34.69 58.88 22.33 0.00 147.94
570 34.81 83.13 98.76 0.00 102.08
571 34.83 21.67 42.58 0.00 142.86
572 34.84 31.36 77.88 0.00 145.80
573 34.92 16.05 29.04 0.00 126.55
574 34.97 70.72 30.83 0.00 127.70
575 34.82 90.51 88.33 1.21 75.38
576 34.83 35.52 70.57 0.00 168.59
577 34.86 44.65 55.69 0.00 191.29
578 34.94 73.52 38.61 0.00 126.52
579 34.97 38.44 54.64 0.00 165.92
580 35.07 9.13 19.16 0.10 103.26
581 35.15 51.30 23.42 0.00 156.37
582 35.16 40.73 48.52 0.00 173.06
583 35.18 28.07 53.39 0.00 153.96
584 35.32 85.75 114.52 0.00 96.43
585 35.34 24.17 35.49 0.00 135.15
586 35.32 63.99 24.55 0.00 155.21
587 35.37 66.31 23.22 0.00 129.01
588 35.30 10.61 22.43 1.43 105.36
589 35.38 61.26 17.33 0.00 139.97
590 35.67 75.35 98.27 0.00 119.84
591 35.52 33.64 46.32 0.00 164.71
592 35.48 42.98 32.63 0.00 179.39
593 35.58 48.93 17.35 0.00 162.28
594 35.58 53.50 21.93 0.00 145.96
595 35.63 77.86 117.71 0.00 113.91
596 35.93 88.60 109.14 1.43 89.29
597 35.74 18.96 18.25 0.00 125.13
598 35.78 36.74 27.77 0.00 165.64
599 35.79 56.08 17.43 0.00 150.19
600 35.85 81.01 137.01 0.00 98.56
601 35.77 46.21 18.82 0.00 159.73
602 35.95 68.06 39.10 0.00 143.06
603 35.83 13.39 18.51 0.00 116.50
604 35.88 58.71 19.55 0.00 144.15
605 35.98 26.17 26.42 0.00 149.07
606 35.98 31.49 34.04 0.00 162.90
