#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
kw1 14A 5 even-skipped knirps giant

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - kni, channel 3 - gt>
584 36.93 60.68 57.04 22.76 187.15
585 37.05 42.79 70.76 23.63 209.44
586 36.96 67.31 49.77 21.61 142.57
587 37.06 79.36 76.03 18.32 71.08
588 37.18 11.75 37.51 15.70 117.07
589 37.21 32.13 66.81 21.41 188.50
590 37.22 34.41 62.82 21.70 191.74
591 37.26 26.20 68.76 19.12 191.98
592 37.11 76.72 60.91 18.99 85.70
593 37.22 82.68 101.13 19.05 55.85
594 37.22 88.35 98.78 14.96 39.09
595 37.16 56.94 54.11 22.11 202.72
596 37.14 70.11 55.04 20.66 124.00
597 37.48 85.31 120.82 16.96 41.64
598 37.41 38.03 61.90 23.36 195.44
599 37.50 14.87 40.83 16.69 131.60
600 37.47 46.41 61.23 23.40 208.51
601 37.51 63.09 51.58 23.31 154.52
602 37.56 54.72 51.77 24.84 192.54
603 37.99 93.16 72.39 10.85 13.14
604 37.69 74.32 73.21 20.03 92.16
605 37.80 21.58 51.02 19.65 151.72
606 37.78 40.43 59.84 22.73 194.60
