#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
kf1 14A 6 even-skipped knirps giant

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - kni, channel 3 - gt>
532 32.67 29.24 68.69 44.15 182.76
533 32.58 32.15 64.20 45.53 177.16
534 32.69 26.94 68.33 41.16 178.32
535 32.67 24.15 69.00 39.03 172.42
536 32.91 50.14 163.46 40.61 203.99
537 32.77 39.08 71.93 53.16 187.99
538 32.86 70.36 174.16 28.00 195.23
539 32.88 43.59 77.99 55.33 179.08
540 32.99 21.72 97.94 30.19 180.55
541 32.97 81.89 64.09 21.94 127.64
542 33.04 72.84 136.58 27.49 176.25
543 33.17 34.93 79.22 45.40 184.56
544 33.07 52.34 180.44 36.69 216.48
545 33.10 58.95 221.72 35.74 209.54
546 33.06 61.71 231.90 31.02 210.26
547 33.21 66.14 216.10 30.09 201.28
548 33.31 54.72 210.28 40.29 207.86
549 33.34 17.01 144.48 26.37 160.40
550 33.31 78.79 68.56 23.97 156.16
551 33.45 45.56 169.83 40.57 192.88
552 33.50 56.96 222.42 33.37 211.14
553 33.54 89.73 36.09 17.31 55.00
554 33.61 68.41 148.12 28.73 199.93
555 33.47 75.63 86.00 25.01 168.01
556 33.56 84.96 51.23 18.77 106.87
557 33.48 40.95 120.94 41.68 187.18
558 33.63 48.11 191.48 37.09 198.08
559 33.60 30.50 148.08 34.95 185.59
560 33.63 37.23 124.06 37.62 181.99
561 33.77 11.32 159.08 22.42 150.55
562 33.66 63.62 222.77 34.87 209.45
563 33.85 8.37 138.04 21.12 116.01
564 33.80 14.29 169.82 24.62 147.76
565 33.68 25.50 140.54 31.83 181.75
566 33.74 33.01 154.48 36.38 193.19
567 33.82 87.55 51.45 17.84 92.80
568 33.98 71.04 103.04 27.01 189.02
569 34.17 19.86 163.83 26.77 162.17
570 34.23 22.88 184.30 31.41 178.34
571 34.29 28.16 190.85 31.80 174.44
572 34.13 51.07 222.80 34.62 222.11
573 34.21 43.57 187.01 35.49 190.02
574 34.08 60.96 221.43 32.57 208.29
575 34.25 83.15 55.61 22.62 113.38
576 34.41 53.32 225.31 32.49 208.94
577 34.35 80.58 53.01 24.58 130.02
578 34.20 65.96 152.62 30.02 206.33
579 34.56 38.79 207.82 35.72 208.29
580 34.49 58.61 223.86 34.16 213.59
581 34.40 73.77 71.50 25.98 167.46
582 34.42 77.54 58.97 23.83 150.50
583 34.63 34.16 188.90 33.70 191.47
584 34.50 46.62 219.68 33.06 221.48
585 34.49 55.91 216.78 35.60 209.64
586 34.64 41.02 209.32 34.57 205.09
587 34.72 17.01 181.97 25.78 158.43
588 34.81 91.73 44.79 14.47 29.86
589 34.68 31.07 206.09 32.57 191.17
590 35.01 49.57 223.58 37.20 197.99
591 34.78 63.17 175.03 31.46 212.14
592 34.83 68.36 91.02 29.35 188.69
593 34.82 25.50 210.17 30.07 197.17
594 34.87 36.43 213.97 31.91 207.93
595 35.06 85.66 63.71 20.60 80.70
596 35.00 88.72 60.42 17.53 53.99
597 35.13 14.17 174.14 25.40 146.01
598 35.04 11.43 142.30 23.47 155.25
599 35.15 71.29 63.56 27.76 176.78
600 35.19 60.92 168.12 30.06 216.60
601 35.39 76.06 54.22 26.10 141.55
602 35.46 8.70 114.32 19.46 129.20
603 35.40 21.26 192.29 26.07 177.29
604 35.14 65.33 104.44 32.32 199.46
605 35.39 45.11 226.91 35.34 212.38
606 35.48 51.81 219.44 35.87 227.03
