#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
kf8 14A 1 even-skipped Kruppel hunchback

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - hb>
500 34.70 61.86 88.07 19.49 174.10
501 34.85 41.70 97.52 21.49 175.90
502 34.91 43.93 91.67 19.70 164.23
503 34.97 51.68 94.03 21.27 168.07
504 34.89 9.98 38.40 8.92 37.26
505 35.03 25.99 76.88 15.15 143.92
506 35.09 48.92 98.87 20.34 165.42
507 35.11 80.66 80.36 19.30 154.78
508 35.31 85.52 61.16 18.07 97.13
509 35.33 31.06 80.83 17.04 148.72
510 35.42 58.54 93.64 20.92 168.34
511 35.44 55.29 95.15 21.23 169.82
512 35.50 33.87 84.79 17.84 154.90
513 35.60 75.48 74.55 19.94 149.41
514 35.70 65.41 83.25 21.17 156.87
515 35.78 78.23 70.32 19.52 134.84
516 35.66 69.95 80.68 19.46 155.70
517 35.81 72.94 76.45 19.50 148.18
518 35.79 28.27 75.81 16.96 140.66
519 35.75 36.40 85.75 17.91 163.75
520 35.66 62.47 95.57 22.89 167.67
521 35.80 45.64 93.31 20.16 171.05
522 35.82 18.56 66.90 12.57 116.77
523 35.95 38.94 93.89 17.31 158.20
524 35.98 82.64 66.74 20.81 126.37
525 35.89 15.21 65.64 12.22 105.50
526 35.91 24.37 75.53 14.67 131.80
527 36.05 21.62 71.34 12.80 121.14
528 35.99 41.39 92.20 18.38 169.55
529 36.08 88.22 39.33 17.88 48.11
530 36.11 50.53 94.96 20.45 162.37
531 36.14 53.27 99.29 22.20 172.60
532 36.26 12.08 54.28 9.92 70.04
533 36.31 47.86 99.43 22.02 174.61
534 36.43 60.72 94.70 22.08 164.86
535 36.47 67.99 79.49 20.57 148.79
536 36.46 43.79 89.48 20.08 167.57
537 36.44 30.69 75.03 18.14 142.50
538 36.53 56.11 96.46 21.62 168.27
539 36.64 58.41 94.30 23.32 173.36
540 36.63 33.64 88.39 18.16 141.88
541 36.75 85.18 59.45 19.78 99.49
542 36.74 63.44 87.99 21.58 154.40
543 36.85 26.52 72.23 15.10 124.73
544 36.83 79.74 70.34 19.72 144.02
545 36.92 17.21 66.08 13.36 125.99
546 36.84 71.25 74.34 20.85 149.97
547 36.87 36.46 90.59 18.42 161.15
548 37.00 76.58 69.55 20.14 141.53
549 37.10 19.83 68.85 14.66 121.56
550 37.08 23.92 76.45 15.54 136.40
551 37.20 65.81 84.47 22.17 156.11
552 37.27 73.98 68.31 21.58 131.52
553 37.17 41.39 90.76 20.81 161.10
554 37.22 51.99 90.47 23.44 164.27
555 37.29 14.59 65.92 12.92 110.49
556 37.37 28.90 80.25 16.95 130.43
557 37.34 38.95 85.98 18.76 160.43
558 37.42 46.32 83.29 20.44 149.96
559 37.36 82.24 67.50 21.66 129.74
560 37.48 89.68 34.16 19.44 36.68
561 37.38 49.27 89.83 22.60 165.03
562 37.45 54.78 88.91 22.56 158.32
563 37.49 9.22 46.17 11.40 43.22
564 37.63 31.44 85.22 18.91 149.86
565 37.76 11.99 56.88 10.94 73.77
566 37.81 22.00 64.46 14.51 121.45
567 37.67 43.77 92.91 22.34 171.13
568 37.70 60.60 87.88 22.57 154.91
569 37.85 70.16 83.22 22.06 145.34
570 37.82 86.72 56.83 20.96 86.21
571 37.74 34.11 81.38 18.29 159.83
572 37.89 57.66 89.74 23.03 151.31
573 37.94 63.40 88.36 23.89 157.39
574 38.10 67.57 78.49 22.16 143.20
575 38.03 78.52 63.90 21.76 131.48
576 38.01 36.46 83.79 19.19 161.87
577 38.18 17.60 69.13 14.23 115.44
578 38.32 25.04 74.02 17.27 129.64
579 38.35 84.15 65.02 22.19 116.69
580 38.46 27.51 70.40 17.17 129.82
581 38.40 53.47 96.40 24.65 169.31
582 38.44 41.12 84.34 21.23 153.83
583 38.52 51.16 88.78 23.39 156.11
584 38.52 72.68 72.66 23.49 141.45
585 38.59 75.77 69.39 22.07 126.42
586 38.51 48.64 85.65 23.28 155.48
587 38.67 81.19 69.80 24.23 128.44
588 38.66 14.49 65.14 14.82 115.62
589 38.72 38.68 88.25 21.19 151.54
590 38.94 20.05 61.80 14.99 108.49
591 38.70 32.97 71.13 18.56 141.87
592 38.89 30.19 78.12 18.66 138.07
593 38.93 9.09 41.13 11.01 40.28
594 38.78 43.80 93.28 23.27 159.40
595 38.95 46.33 86.40 22.02 157.91
596 38.86 65.26 78.39 22.85 147.75
597 38.87 89.70 33.69 22.81 32.92
598 38.94 55.71 93.16 23.65 153.68
599 38.93 60.13 86.61 25.10 157.28
600 39.08 62.75 85.75 24.80 154.01
601 39.17 22.85 64.38 17.42 122.96
602 39.23 11.81 59.53 13.27 88.97
603 39.14 35.76 86.72 22.05 150.39
604 39.11 69.54 72.87 24.41 136.95
605 39.10 86.74 58.22 24.91 75.87
