#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
hre1 14A 7 even-skipped Kruppel hunchback

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - hb>
408 31.85 24.22 163.80 15.32 115.38
409 31.73 32.84 191.16 18.78 159.95
410 31.86 51.62 109.14 22.98 187.38
411 31.97 61.88 59.44 21.38 156.91
412 31.93 78.28 38.65 14.82 100.87
413 31.98 29.52 191.40 17.87 148.90
414 31.98 44.66 191.50 22.49 178.89
415 31.99 42.50 188.00 22.33 180.64
416 32.03 49.27 139.65 24.20 184.20
417 32.18 57.42 65.05 23.26 179.01
418 32.23 80.92 39.87 13.57 87.37
419 32.20 21.12 162.62 13.44 106.21
420 32.15 46.93 159.44 24.74 189.36
421 32.26 64.38 54.19 22.40 157.99
422 32.45 13.22 129.72 9.35 75.65
423 32.30 38.14 199.66 22.29 160.06
424 32.38 55.03 70.82 23.80 172.97
425 32.48 66.87 50.20 21.53 162.78
426 32.51 73.76 40.72 18.04 123.24
427 32.48 34.44 191.15 20.88 165.97
428 32.52 83.34 40.87 12.66 68.63
429 32.63 71.19 43.34 18.94 137.42
430 32.68 16.40 133.42 11.31 89.23
431 32.70 27.59 175.45 17.30 132.84
432 32.72 40.68 147.35 22.18 174.25
433 32.89 68.95 46.86 21.29 149.99
434 32.88 52.79 61.01 22.94 185.71
435 32.77 59.52 51.60 22.28 162.68
436 32.85 31.63 180.48 19.46 158.84
437 33.11 76.10 43.09 17.35 112.33
438 33.09 25.17 164.54 15.96 130.97
439 33.22 19.56 125.38 12.88 101.55
440 33.03 43.40 116.05 23.43 181.88
441 33.09 50.52 67.68 24.58 185.03
442 33.19 48.15 79.49 25.71 186.22
443 33.35 22.56 143.88 14.97 119.07
444 33.22 36.35 136.37 23.27 178.60
445 33.23 45.80 93.12 24.14 189.58
446 33.21 62.50 46.34 24.66 147.63
447 33.36 10.77 87.30 8.16 54.31
448 33.33 56.23 47.89 23.11 169.21
449 33.37 78.95 57.33 15.96 101.23
450 33.51 29.72 139.79 20.22 170.53
451 33.43 38.89 125.91 23.37 175.80
452 33.56 64.94 43.88 23.36 158.71
453 33.53 33.60 130.24 21.99 174.79
454 33.83 84.05 107.39 15.66 63.54
455 33.86 81.21 78.62 16.71 93.16
456 33.91 53.80 45.53 22.96 162.83
457 33.80 14.39 97.90 10.60 83.61
458 33.85 60.30 42.91 24.88 157.35
459 33.87 73.24 48.65 19.75 127.42
460 33.94 27.21 113.29 17.71 149.95
461 33.88 41.54 73.84 23.77 174.37
462 33.90 67.39 44.88 22.91 154.96
463 34.11 70.16 49.34 21.36 150.22
464 34.18 57.97 42.83 23.95 157.31
465 34.04 17.68 102.06 13.00 102.68
466 34.10 44.21 61.81 24.78 176.81
467 34.16 51.46 48.63 24.34 176.39
468 34.28 49.17 51.61 24.89 176.75
469 34.39 31.60 74.93 20.74 159.78
470 34.30 46.88 54.87 24.83 178.72
471 34.35 24.71 105.31 17.55 141.79
472 34.45 36.67 70.32 21.44 168.88
473 34.43 21.08 80.56 14.80 115.45
474 34.38 76.61 74.03 18.67 118.42
475 34.51 34.44 64.77 23.38 171.78
476 34.53 62.77 45.16 25.10 164.03
477 34.45 39.07 59.12 23.79 165.54
478 34.58 11.90 57.96 9.65 80.18
479 34.55 55.79 42.94 24.58 160.58
480 34.96 86.03 94.12 16.65 57.01
481 34.85 28.74 66.24 20.17 156.98
482 34.82 65.59 50.44 24.17 161.40
483 34.99 71.66 92.90 23.97 144.84
484 35.06 79.31 116.71 18.68 92.53
485 34.93 15.48 54.89 11.96 97.16
486 35.08 43.04 51.57 25.00 186.15
487 35.15 9.24 31.49 8.61 54.13
488 35.00 60.12 48.51 26.38 167.10
489 35.20 40.83 51.04 24.95 181.99
490 35.07 67.97 66.72 25.55 166.38
491 35.14 53.04 46.26 27.35 183.73
492 35.18 82.60 129.86 19.19 86.29
493 35.22 45.28 46.16 26.72 184.23
494 35.43 74.11 133.35 23.91 128.18
495 35.30 18.79 52.87 13.36 112.92
