#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
bk2 14A 4 even-skipped Kruppel giant

#Data without background
#Normalization coefficients: <gene> <a0> <a1> <a2> <a3> <a4> <a5>
eve -0.008417 -0.008417 0.892336 0.892336 -16.083183 0.0
Kr  -0.002236 -0.007018 0.159919 0.752833 -2.250873 -8.81E-4
gt  -0.001463 -0.004656 0.139679 0.4719 -0.737551 4.01E-4
#Normalization formula: intensity_norm = 255 * (intensity - (a0*x^2 + a1*y^2 + a2*x + a3*y + a4 + a5*x*y)) / (255 - (a0*x^2 + a1*y^2 + a2*x + a3*y + a4 + a5*x*y))
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - gt>
432 29.30 37.19 107.91 0.00 201.83
433 29.40 11.85 80.86 1.59 122.54
434 29.30 68.20 99.05 7.81 173.14
435 29.41 84.64 36.95 8.63 64.41
436 29.52 8.51 54.44 1.29 71.80
437 29.55 15.27 81.41 0.00 131.67
438 29.55 43.48 117.34 2.13 212.89
439 29.53 48.29 112.00 1.82 209.61
440 29.62 73.30 65.33 5.75 130.82
441 29.60 31.21 114.06 1.81 194.36
442 29.72 51.43 115.14 4.80 213.30
443 29.72 60.59 108.64 6.79 191.28
444 29.75 45.84 109.77 2.42 208.31
445 29.76 39.80 121.81 0.93 212.25
446 29.88 27.48 112.00 0.00 187.92
447 29.91 63.96 86.13 7.29 175.78
448 30.03 82.02 43.44 8.37 73.34
449 30.03 17.99 82.56 0.47 146.11
450 30.22 75.65 51.04 10.37 103.98
451 30.19 35.33 118.36 0.00 192.77
452 30.18 56.59 97.61 6.52 207.89
453 30.15 66.26 86.62 6.55 167.27
454 30.02 76.75 43.68 9.45 108.07
455 30.23 21.82 91.49 0.03 156.22
456 30.32 24.63 96.63 0.18 170.88
457 30.32 41.89 114.02 1.68 212.73
458 30.27 54.40 94.36 3.13 203.55
459 30.32 37.70 110.52 2.32 206.73
460 30.49 49.96 98.08 3.99 215.02
461 30.38 59.02 102.20 6.11 196.94
462 30.48 78.91 41.37 9.36 80.14
463 30.46 70.96 68.18 9.63 145.34
464 30.58 30.09 113.38 0.00 180.46
465 30.55 68.50 72.36 10.31 154.54
466 30.66 10.57 68.05 2.05 105.54
467 30.58 13.81 76.43 2.10 126.36
468 30.55 32.87 108.40 0.20 192.45
469 30.68 47.93 100.79 4.03 213.09
470 30.75 84.95 42.05 9.97 47.77
471 30.78 61.88 103.42 11.04 206.56
472 30.84 52.30 83.41 4.59 209.03
473 30.96 43.76 100.79 1.92 216.88
474 30.89 45.92 98.85 3.04 213.84
475 30.89 73.79 63.90 10.68 119.70
476 30.97 26.88 105.09 0.69 177.94
477 30.97 39.75 106.42 3.38 207.60
478 31.07 19.89 77.35 0.00 154.13
479 31.19 16.62 68.98 0.08 136.61
480 31.18 64.31 70.73 8.79 157.70
481 31.26 57.84 81.10 4.96 183.72
482 31.32 22.84 87.14 0.30 160.26
483 31.26 81.34 52.15 13.05 53.95
484 31.45 34.94 99.79 1.32 196.88
485 31.38 37.38 99.69 0.77 187.79
486 31.38 54.49 64.29 5.93 189.21
487 31.55 66.67 56.99 10.09 144.69
488 31.52 29.20 116.74 1.23 190.75
489 31.60 75.95 53.11 11.31 78.98
490 31.63 60.29 68.66 8.91 164.69
491 31.58 41.70 96.40 2.03 203.59
492 31.70 50.27 64.02 4.77 202.11
493 31.67 72.02 58.60 11.30 118.33
494 31.72 32.56 98.78 0.46 173.32
495 31.76 69.25 54.59 11.50 130.04
496 31.75 12.29 59.57 2.59 125.45
497 31.96 24.96 83.61 0.97 163.61
498 31.76 78.45 51.88 11.48 52.96
499 31.68 13.68 58.06 1.81 118.87
500 31.74 48.07 71.66 4.57 198.21
501 31.93 9.78 47.81 1.17 98.21
502 31.97 45.43 72.01 3.86 192.21
503 32.05 56.36 54.20 7.34 177.81
504 31.89 84.05 56.71 13.22 28.65
505 32.10 62.55 61.28 10.30 155.82
506 32.09 52.26 56.78 7.23 193.95
507 32.22 87.05 44.45 13.41 19.01
508 32.23 18.69 55.80 0.39 133.82
509 32.26 27.45 87.20 1.71 169.05
510 32.32 39.17 78.28 0.29 181.83
511 32.27 21.46 71.17 0.61 144.90
512 32.42 15.58 41.52 0.80 117.74
513 32.36 43.41 71.53 4.06 194.93
514 32.24 82.65 56.12 13.22 28.49
515 32.40 30.89 94.52 1.33 183.78
516 32.52 64.83 52.24 12.11 129.13
517 32.48 36.79 73.70 1.31 174.23
518 32.60 58.59 47.23 8.21 156.13
519 32.63 73.75 61.38 15.51 74.79
520 32.59 79.98 64.53 14.91 34.75
521 32.61 54.29 49.62 7.53 182.87
522 32.81 7.93 27.47 2.47 69.34
523 32.69 47.24 54.81 4.30 178.26
524 32.80 34.40 65.60 1.94 177.16
525 32.78 41.19 62.32 3.60 176.18
526 32.78 67.35 53.59 13.20 122.61
527 32.73 70.82 50.61 13.05 89.81
528 32.96 60.86 41.47 9.44 129.39
529 32.91 76.64 64.79 16.80 46.05
530 32.99 12.58 41.80 2.09 101.43
531 33.08 23.64 67.85 1.18 149.34
532 32.98 49.84 48.36 3.09 170.66
533 33.20 29.20 71.00 3.30 168.53
534 33.26 85.08 68.96 19.07 17.44
535 33.26 26.16 65.00 2.66 164.61
536 33.33 45.24 49.20 3.88 171.24
537 33.24 56.58 48.68 9.55 157.62
538 33.24 52.18 42.91 8.19 169.74
539 33.40 82.20 78.92 18.95 21.21
540 33.51 88.40 38.46 13.34 6.00
541 33.39 21.03 51.48 0.10 130.16
542 33.45 32.48 56.05 1.28 162.23
543 33.43 18.08 37.52 0.79 112.14
544 33.43 63.19 48.20 12.44 106.69
545 33.55 69.02 70.57 18.53 97.43
546 33.63 42.65 48.35 3.57 167.33
547 33.74 10.12 29.77 2.81 81.85
548 33.55 37.06 48.77 3.31 170.74
