AP,gt,kni,kr,hb,time
8,12.38111111111111,47.58222222222222,7.264,112.744,3
9,14.267142857142858,46.34428571428572,7.238333333333333,118.25666666666666,3
10,15.443333333333333,52.596666666666664,7.21,124.89222222222222,3
11,17.096666666666668,39.712,7.371111111111111,132.10555555555555,3
12,17.803684210526317,34.373684210526314,7.168333333333333,125.93416666666667,3
13,21.201363636363638,37.291363636363634,7.0175,127.51625,3
14,24.60421052631579,40.31894736842105,7.355,133.8025,3
15,29.341333333333335,33.33733333333333,7.538333333333333,138.59333333333333,3
16,34.59705882352941,34.264117647058825,7.193636363636363,134.22454545454545,3
17,45.55,35.9505,7.524285714285714,136.18642857142856,3
18,54.53578947368421,31.19684210526316,7.683076923076923,141.15076923076924,3
19,66.50714285714285,34.049285714285716,7.5723529411764705,136.50294117647059,3
20,85.80157894736843,33.04105263157895,7.619230769230769,141.27846153846153,3
21,103.96176470588236,30.931764705882355,7.785,145.7855,3
22,114.11541666666666,29.30125,7.8486666666666665,148.286,3
23,123.58588235294118,25.726470588235294,7.9057894736842105,148.79526315789474,3
24,140.8532,26.592,8.335625,155.67625,3
25,139.1465,25.0045,8.546315789473685,155.2921052631579,3
26,148.96458333333334,23.275,8.126666666666667,146.65208333333334,3
27,159.56541666666666,22.882916666666667,8.394736842105264,152.89947368421053,3
28,163.98956521739132,22.50304347826087,8.722222222222221,151.145,3
29,174.61666666666667,22.636666666666667,8.978636363636364,156.275,3
30,189.42892857142857,23.91357142857143,9.4336,157.1204,3
31,193.79043478260868,24.32,9.356,149.0152,3
32,191.41222222222223,24.377037037037038,9.640869565217391,142.7173913043478,3
33,190.3651851851852,24.002962962962965,10.328095238095237,147.29142857142858,3
34,180.56807692307692,24.232692307692307,10.407619047619047,144.6847619047619,3
35,177.39379310344827,24.46896551724138,11.239565217391304,146.30521739130435,3
36,170.0085185185185,24.806666666666665,12.187391304347827,137.7886956521739,3
37,147.83612903225807,24.731935483870966,13.90074074074074,138.6737037037037,3
38,128.69333333333333,23.879,15.847083333333334,145.94166666666666,3
39,104.7,24.75,17.49772727272727,129.6390909090909,3
40,79.74678571428572,25.012857142857143,21.071666666666665,123.66375,3
41,58.644814814814815,24.85851851851852,26.377407407407407,123.39518518518518,3
42,44.88171428571429,25.62742857142857,31.546666666666667,120.54958333333333,3
43,34.32911764705882,26.376176470588234,36.44904761904762,97.87285714285714,3
44,27.13586206896552,25.568620689655173,45.18655172413793,87.68655172413793,3
45,23.801764705882352,26.550882352941176,55.38777777777778,76.89481481481481,3
46,20.64578947368421,25.792894736842104,63.887241379310346,60.65689655172414,3
47,19.233333333333334,26.243076923076924,72.4875,44.29678571428571,3
48,18.039428571428573,26.290857142857142,78.84966666666666,35.151666666666664,3
49,16.91186046511628,26.426279069767443,85.09896551724138,26.209655172413793,3
50,16.96,28.067631578947367,84.74125,19.42625,3
51,16.54341463414634,28.912195121951218,91.7544827586207,16.8951724137931,3
52,15.85342105263158,29.19236842105263,92.54222222222222,12.577777777777778,3
53,15.443333333333333,30.659333333333333,94.52321428571429,10.625357142857142,3
54,15.282727272727273,34.556363636363635,91.20310344827587,8.094827586206897,3
55,15.225744680851063,40.48063829787234,94.328,7.339,3
56,15.30054054054054,48.21648648648649,91.88692307692308,6.4265384615384615,3
57,15.162222222222223,55.861333333333334,82.43758620689655,5.111724137931034,3
58,15.199523809523809,67.61,78.2948,4.5852,3
59,14.929024390243903,81.1609756097561,67.45592592592592,3.7825925925925925,3
60,14.731842105263159,93.33473684210526,58.25703703703704,3.3085185185185186,3
61,15.794054054054055,110.05297297297297,53.7132,3.3988,3
62,15.336585365853658,115.60731707317073,42.0844,2.8672,3
63,15.423023255813954,120.59348837209302,34.448214285714286,2.5196428571428573,3
64,17.344594594594593,132.87675675675675,27.365172413793104,2.2272413793103447,3
65,21.13918918918919,138.37864864864864,22.98,2.0725,3
66,22.498636363636365,125.21045454545455,18.9490625,1.9059375,3
67,27.374634146341464,118.76414634146342,16.755,1.9003571428571429,3
68,36.699230769230766,111.33461538461539,15.325416666666667,1.80375,3
69,49.434411764705885,103.17029411764706,14.030416666666667,1.6804166666666667,3
70,59.866,91.394,13.565185185185186,1.7692592592592593,3
71,71.289,78.449,12.429130434782609,1.6043478260869566,3
72,85.03,70.34025641025642,12.3136,1.7732,3
73,101.64,64.38030303030303,11.785416666666666,1.7808333333333333,3
74,99.51825,55.149,11.435,1.804,3
75,108.772,51.02542857142857,11.075217391304347,1.9608695652173913,3
76,113.50923076923077,46.996538461538464,11.22857142857143,2.453333333333333,3
77,102.00764705882352,42.34411764705882,11.009166666666667,3.1104166666666666,3
78,96.20096774193549,39.02451612903226,10.84551724137931,4.554137931034483,3
79,92.11133333333333,37.193,11.065263157894737,6.0600000000000005,3
80,82.85258064516128,34.98516129032258,10.915238095238095,7.81952380952381,3
81,75.86206896551724,34.10896551724138,11.054117647058824,9.891764705882354,3
82,72.92379310344828,32.959310344827585,11.298148148148147,13.75074074074074,3
83,67.1552,32.2584,11.372727272727273,18.025,3
84,61.7392,31.5824,11.081052631578947,17.64315789473684,3
85,55.32038461538461,31.08923076923077,11.100999999999999,20.894000000000002,3
86,49.801071428571426,31.066785714285714,11.27875,24.60875,3
87,45.93772727272727,32.59318181818182,10.92157894736842,23.25421052631579,3
88,38.51769230769231,31.353846153846153,11.096428571428572,26.752142857142857,3
89,35.32043478260869,30.47304347826087,10.734285714285715,24.61857142857143,3
90,31.635185185185186,32.00259259259259,11.067142857142857,27.35,3
91,27.01391304347826,30.952608695652174,10.510833333333332,26.409166666666668,3
92,23.527368421052632,30.587894736842106,10.692727272727273,24.28272727272727,3
93,20.20576923076923,29.544615384615383,10.308181818181819,22.824545454545454,3
94,18.27722222222222,29.272222222222222,10.49375,20.2075,3
95,16.435333333333332,27.640666666666668,10.1075,15.5425,3
96,14.911818181818182,26.12818181818182,9.261666666666667,13.968333333333334,3
97,14.271666666666667,23.541666666666668,9.27,12.824,3
98,12.99,22.81,9.36,10.149999999999999,3
4,10.636666666666667,83.04333333333334,27.335,110.465,4
5,12.02375,85.4025,27.22714285714286,117.78285714285714,4
6,13.178181818181818,81.12454545454545,28.468,136.306,4
7,14.094444444444445,83.94333333333333,28.226,142.92,4
8,16.011,82.563,27.7225,136.46875,4
9,16.698999999999998,79.676,30.242727272727272,164.56272727272727,4
10,18.47818181818182,72.76,29.685,177.94375,4
11,19.999285714285715,69.48357142857142,30.082,178.464,4
12,20.339444444444446,57.40277777777778,29.35909090909091,185.9009090909091,4
13,24.15076923076923,66.46461538461539,30.64153846153846,197.82615384615386,4
14,27.93235294117647,62.12352941176471,31.13090909090909,206.55545454545455,4
15,31.132727272727273,54.85727272727273,30.22,201.26916666666668,4
16,37.608666666666664,51.57066666666667,29.8,195.9,4
17,42.776428571428575,55.972857142857144,29.640666666666664,203.26466666666667,4
18,51.74368421052631,56.30947368421052,28.391333333333332,194.54133333333334,4
19,64.64583333333333,52.255833333333335,29.703333333333333,198.624,4
20,81.493,50.424,29.67125,202.225625,4
21,98.55421052631579,52.37894736842105,29.29157894736842,195.06578947368422,4
22,108.53333333333333,47.86944444444445,28.695,199.546875,4
23,118.89772727272728,43.57636363636364,29.14764705882353,198.8929411764706,4
24,129.18959999999998,38.9764,28.78857142857143,197.72333333333333,4
25,139.921,37.989,29.908,203.678,4
26,147.57875,35.85916666666667,29.472272727272728,195.07090909090908,4
27,149.18571428571428,31.28107142857143,28.632105263157897,189.48631578947368,4
28,163.21730769230768,30.394615384615385,29.404999999999998,198.7190909090909,4
29,164.00923076923078,28.71807692307692,29.1984,192.0084,4
30,166.34137931034482,27.69965517241379,30.314,198.3832,4
31,171.08928571428572,27.76607142857143,30.384999999999998,198.80125,4
32,171.3364,27.6584,30.01607142857143,192.8492857142857,4
33,187.62555555555556,30.19185185185185,30.67875,193.6475,4
34,172.2774074074074,28.614814814814814,31.683846153846154,191.8873076923077,4
35,167.49916666666667,29.609583333333333,32.193600000000004,190.4944,4
36,152.5725,29.110277777777778,35.07928571428572,197.05821428571429,4
37,147.1125,28.3390625,34.685,191.5476923076923,4
38,138.00137931034482,29.579310344827586,37.04083333333333,194.94708333333332,4
39,129.3703125,29.811875,38.75758620689655,187.25620689655173,4
40,110.18933333333334,28.901333333333334,48.557037037037034,190.1662962962963,4
41,86.78566666666667,29.042333333333332,52.14423076923077,192.37846153846152,4
42,67.07333333333334,28.227333333333334,57.99629629629629,188.8088888888889,4
43,50.94,30.954,69.95354838709677,184.92870967741936,4
44,39.038,29.205142857142857,81.16478260869566,179.31521739130434,4
45,32.33685714285714,30.722857142857144,92.155,167.7078125,4
46,28.739444444444445,30.576944444444443,111.23857142857143,147.07107142857143,4
47,26.4559375,31.063125,124.68714285714286,130.90785714285715,4
48,24.7909375,30.8734375,136.57333333333332,100.32633333333334,4
49,23.673783783783783,31.31972972972973,146.74151515151516,79.0221212121212,4
50,22.36916666666667,30.984444444444446,154.36914285714286,64.04742857142857,4
51,21.60690476190476,31.393571428571427,161.595,44.57233333333333,4
52,21.23225,32.1455,156.9894117647059,34.465,4
53,21.667142857142856,34.994285714285716,152.45870967741936,24.04967741935484,4
54,21.26108108108108,36.57648648648649,166.64655172413794,21.806896551724137,4
55,20.063333333333333,41.382380952380956,158.9379411764706,17.104117647058825,4
56,21.3325,48.96725,152.53742857142856,13.512285714285714,4
57,20.72325,57.21975,148.40548387096774,11.754516129032258,4
58,21.845277777777778,71.59083333333334,140.0246875,10.219375,4
59,21.37025641025641,87.58051282051282,129.07030303030302,8.91,4
60,22.071081081081083,111.09351351351351,115.1253125,7.9653125,4
61,21.68857142857143,130.97142857142856,101.60911764705882,7.1258823529411766,4
62,22.59,152.30694444444444,85.39612903225806,6.41,4
63,22.524594594594596,158.38297297297296,69.151,5.809,4
64,23.89121951219512,168.6919512195122,55.16833333333334,5.057333333333333,4
65,26.313157894736843,173.11342105263157,43.98970588235294,4.698235294117647,4
66,28.303783783783782,166.9445945945946,38.39354838709677,4.5683870967741935,4
