#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
ab12 14A 1 even-skipped caudal bicoid

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - cad, channel 3 - bcd>
480 31.66 67.14 134.14 60.41 73.12
481 31.73 15.52 93.41 43.61 61.12
482 31.71 22.97 116.40 57.96 77.51
483 31.68 29.78 104.19 56.01 73.97
484 31.82 79.23 144.49 56.11 66.33
485 31.95 10.07 68.38 28.77 48.42
486 31.99 47.18 130.37 61.20 84.00
487 32.15 53.11 113.42 56.07 68.07
488 32.06 55.66 112.60 57.65 66.39
489 32.15 89.90 44.15 19.45 28.43
490 32.13 77.05 141.49 55.28 63.80
491 32.15 18.57 111.32 50.79 67.19
492 32.28 42.51 125.90 60.24 79.97
493 32.15 70.60 138.31 62.51 74.84
494 32.23 12.40 108.54 41.61 61.44
495 32.34 74.80 135.40 59.78 64.62
496 32.39 60.15 118.72 58.09 68.45
497 32.37 86.96 73.89 30.18 42.78
498 32.44 32.06 119.91 59.19 73.83
499 32.47 37.30 121.81 64.12 72.30
500 32.44 45.11 137.14 64.52 83.27
501 32.51 50.69 123.43 58.55 72.35
502 32.54 65.27 125.79 62.66 66.07
503 32.54 83.97 120.50 46.03 56.53
504 32.51 81.38 132.33 53.53 66.11
505 32.52 21.23 122.58 58.21 71.66
506 32.66 23.96 124.80 55.86 69.86
507 32.72 39.87 133.27 66.76 75.11
508 32.72 68.14 127.68 60.99 65.75
509 32.74 28.78 115.32 61.83 69.17
510 32.82 57.47 124.17 62.03 68.36
511 32.82 62.62 124.05 63.56 65.76
512 32.79 72.75 133.97 62.72 73.70
513 32.92 16.45 121.14 55.24 65.49
514 33.01 35.06 126.10 66.12 78.87
515 33.03 48.19 127.04 63.02 70.95
516 33.08 25.73 133.03 62.98 72.60
517 33.10 78.25 136.93 57.28 57.60
518 33.28 9.38 62.13 31.60 44.57
519 33.21 54.39 125.28 61.18 66.55
520 33.32 13.41 92.32 45.30 49.70
521 33.35 89.89 47.27 24.65 31.12
522 33.37 70.46 132.41 62.66 62.85
523 33.39 20.43 128.52 57.35 58.71
524 33.50 42.16 134.90 62.19 68.81
525 33.51 32.75 126.48 67.70 70.82
526 33.61 44.83 137.71 68.02 70.62
527 33.53 80.71 135.28 57.74 60.58
528 33.67 87.54 86.17 36.76 43.37
529 33.66 51.33 129.66 61.35 65.45
530 33.71 59.11 125.59 60.81 61.94
531 33.60 75.66 129.33 56.52 54.57
532 33.64 85.21 103.06 46.06 51.64
533 33.63 66.02 133.46 63.51 67.14
534 33.75 27.46 131.51 67.68 77.67
535 33.90 17.63 118.50 56.92 58.92
536 33.96 29.95 135.94 66.05 73.64
537 33.97 36.95 133.73 68.99 68.47
538 33.90 39.48 135.38 68.57 71.07
539 33.91 83.00 134.35 56.24 56.58
540 34.02 61.34 133.98 63.18 64.43
541 34.05 63.72 127.38 60.68 61.30
542 34.09 22.59 120.47 62.99 70.40
543 34.05 68.50 132.81 64.62 60.46
544 33.96 72.82 135.49 63.07 62.85
545 34.07 56.47 123.16 64.18 62.68
546 34.04 48.24 133.06 60.81 61.24
547 34.27 25.11 128.97 68.02 72.10
548 34.27 12.28 94.28 48.93 51.50
549 34.37 53.87 138.16 65.99 63.92
550 34.29 78.72 134.10 63.33 55.41
551 34.39 10.85 106.79 46.93 54.43
552 34.79 15.34 110.31 53.82 54.33
553 34.61 34.42 110.80 61.00 55.18
554 34.73 9.07 80.90 38.82 54.18
555 34.62 31.92 139.65 65.13 53.15
556 34.63 46.18 149.41 69.71 65.97
557 34.72 19.13 131.75 55.86 47.65
558 34.62 76.42 142.14 63.86 65.02
559 34.78 89.45 63.28 30.03 34.24
560 34.75 41.07 134.52 70.29 63.66
561 34.82 50.63 139.11 67.37 65.70
562 34.83 81.01 124.74 55.64 50.70
563 34.88 43.54 142.29 69.92 62.91
564 34.85 66.12 137.93 64.23 59.80
565 34.83 86.78 100.70 45.72 48.39
566 34.92 71.17 134.15 65.15 62.35
567 34.88 27.08 159.43 74.35 64.03
568 34.93 59.27 125.77 62.34 58.90
569 34.97 74.12 138.60 64.10 60.15
570 34.93 83.99 118.63 51.45 50.29
571 35.24 29.14 135.18 73.24 64.61
572 35.11 68.79 127.96 65.54 63.37
573 35.20 36.82 146.08 72.41 72.42
574 35.21 56.38 132.46 66.64 60.85
575 35.28 61.64 146.64 64.36 47.93
576 35.28 21.50 135.68 65.30 63.76
577 35.43 63.88 142.77 69.78 60.13
578 35.43 12.59 117.81 54.60 58.16
579 35.43 48.38 139.70 64.45 61.09
580 35.46 53.13 136.26 70.74 60.20
581 35.42 24.59 154.06 67.62 58.88
582 35.65 39.23 136.30 73.83 63.96
583 35.62 77.56 128.38 65.45 51.04
584 35.60 91.71 38.52 20.42 24.04
585 35.72 31.49 145.54 79.92 71.57
586 35.74 45.32 144.37 68.79 61.43
587 35.84 17.84 125.96 60.64 57.37
588 35.80 82.48 120.17 57.43 48.73
589 35.87 34.25 142.90 77.38 69.75
590 35.98 79.83 132.55 64.16 49.79
591 35.87 85.40 108.02 50.53 42.87
592 35.95 10.03 109.52 48.01 40.10
593 35.92 72.32 129.51 66.73 55.29
594 35.91 88.10 93.28 47.08 47.99
595 35.96 66.59 128.22 65.34 54.94
596 36.01 41.96 140.38 70.77 63.37
