#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
mn4 14A 5 even-skipped Kruppel hunchback

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - hb>
441 32.63 50.87 207.34 28.29 206.31
442 32.55 78.11 80.58 20.88 146.84
443 32.78 16.03 169.69 17.04 151.02
444 32.76 62.50 183.47 25.76 190.49
445 32.84 60.13 195.69 27.55 200.99
446 32.80 38.60 189.50 26.27 212.80
447 32.90 27.22 167.80 21.23 179.13
448 33.07 70.00 109.36 24.72 178.37
449 33.05 73.83 113.61 23.96 171.68
450 33.23 20.53 178.03 18.40 167.03
451 33.20 81.01 70.36 20.62 140.82
452 33.27 86.85 58.91 18.62 118.01
453 33.37 24.83 187.20 20.12 166.33
454 33.35 31.39 183.49 23.99 197.81
455 33.25 53.83 187.75 27.25 220.40
456 33.29 67.48 132.65 25.51 180.40
457 33.24 76.17 85.03 21.43 164.22
458 33.35 43.77 208.61 27.21 210.70
459 33.48 34.23 191.57 25.21 203.64
460 33.54 47.82 190.30 29.42 216.19
461 33.58 56.22 171.93 28.54 204.06
462 33.69 28.65 184.97 23.96 186.80
463 33.69 36.84 196.64 26.36 210.68
464 33.67 64.28 138.48 26.28 194.12
465 33.79 14.54 149.18 16.88 151.10
466 33.87 45.84 185.45 28.95 218.92
467 33.87 49.79 165.87 29.29 225.81
468 33.87 18.41 166.99 18.69 145.03
469 33.84 39.55 191.62 27.56 208.08
470 33.87 51.75 182.02 29.59 222.10
471 33.83 58.46 150.50 27.63 210.77
472 33.86 84.10 72.81 21.38 135.65
473 33.77 77.10 72.41 21.80 132.29
474 34.06 12.09 129.86 14.30 124.16
475 33.98 41.79 194.68 26.88 220.37
476 33.99 61.27 125.44 27.10 204.43
477 34.14 72.08 77.31 24.85 174.55
478 34.03 22.56 180.86 19.38 171.31
479 34.34 78.93 72.24 23.74 149.66
480 34.31 74.68 83.12 25.24 176.67
481 34.43 66.72 93.38 26.96 187.87
482 34.38 69.37 82.18 26.41 186.23
483 34.48 26.66 186.32 22.75 184.59
484 34.44 32.43 179.46 25.70 201.37
485 34.35 53.91 135.13 28.43 213.66
486 34.65 81.54 84.81 24.30 142.89
487 34.60 9.50 76.54 12.25 82.59
488 34.60 29.93 188.57 24.26 197.28
489 34.63 16.21 154.52 17.78 158.95
490 34.62 35.02 192.94 27.79 218.34
491 34.79 44.59 160.06 27.21 218.56
492 34.85 86.87 87.94 21.46 117.08
493 34.77 63.41 90.36 28.62 196.15
494 34.82 37.77 191.12 27.20 208.97
495 34.87 48.78 139.20 29.39 227.20
496 34.99 21.06 134.23 20.04 163.22
497 35.04 24.08 155.52 21.97 174.30
498 34.96 56.98 94.20 28.66 208.94
499 34.91 59.35 93.30 28.53 216.32
500 35.08 42.61 147.56 28.57 221.12
501 35.24 76.76 84.56 26.75 163.80
502 35.16 40.31 146.70 27.00 223.64
503 35.25 46.84 125.52 28.92 228.07
504 35.11 51.50 110.75 29.28 221.78
505 35.23 54.88 98.21 29.74 218.66
506 35.29 18.19 133.37 18.25 169.76
507 35.43 90.70 56.17 17.12 44.76
508 35.33 12.01 97.21 13.61 127.44
509 35.42 83.98 114.97 25.66 140.51
510 35.44 65.74 75.13 29.72 204.04
511 35.41 71.18 71.02 28.46 182.23
512 35.55 61.10 74.61 29.30 201.98
513 35.52 73.96 76.34 29.26 174.61
514 35.73 28.40 121.71 22.91 184.14
515 35.76 15.04 94.35 18.20 156.33
516 35.76 33.35 118.46 24.50 205.37
517 35.65 31.04 137.35 26.09 207.53
518 35.71 68.28 73.65 29.01 188.84
519 35.79 25.94 122.87 20.99 179.72
520 35.76 35.85 153.82 28.27 215.15
521 36.22 78.76 124.34 29.60 149.76
522 35.99 38.85 117.51 27.90 219.83
523 36.04 52.87 82.47 31.23 213.46
524 36.10 63.73 71.78 30.49 203.05
525 36.25 88.65 122.97 26.51 105.41
526 36.16 44.76 97.44 28.92 218.94
527 36.03 49.79 91.77 29.42 224.89
528 36.14 58.15 71.48 31.19 210.46
529 36.19 81.23 127.14 26.59 138.01
530 36.13 20.27 90.02 19.87 162.51
531 36.35 85.65 146.46 27.56 118.08
532 36.32 22.75 92.43 21.97 160.30
533 36.22 42.07 98.80 28.06 209.10
534 36.59 9.94 59.32 13.56 114.48
535 36.29 55.50 71.37 31.38 221.58
536 36.40 47.18 88.16 31.13 227.07
537 36.54 13.29 77.72 17.84 156.75
538 36.64 17.44 80.14 19.85 154.84
539 36.61 70.28 101.14 32.58 197.68
540 36.67 75.72 109.26 31.30 150.96
541 36.73 61.71 70.15 32.91 198.28
542 36.74 72.61 108.48 33.35 181.49
543 36.52 19.26 104.22 21.78 159.52
544 36.80 30.09 85.75 25.38 202.11
545 36.75 37.03 92.64 29.26 219.16
546 36.75 65.87 75.99 34.24 206.02
547 36.92 26.39 76.08 24.18 186.17
548 37.10 34.61 82.29 26.52 206.85
549 37.04 83.15 138.74 34.72 147.59
550 37.28 91.29 83.25 26.45 57.03
551 37.04 51.19 70.84 32.54 221.48
552 37.05 59.59 69.86 32.66 207.58
553 37.10 68.14 94.16 32.72 199.74
554 37.26 32.25 79.96 27.29 205.71
555 37.24 39.69 79.00 30.41 220.79
556 37.28 48.88 72.44 33.56 222.22
557 37.18 53.98 65.35 33.66 218.40
558 37.44 24.21 67.71 23.59 172.02
559 37.34 56.67 63.58 33.84 209.52
560 37.34 41.93 78.08 32.02 223.76
561 37.46 44.21 70.07 32.55 221.88
562 37.51 15.40 58.87 18.78 157.35
563 37.51 12.04 54.89 17.18 144.19
564 37.58 20.26 58.98 20.95 161.85
565 37.65 28.41 67.68 24.32 198.08
566 37.54 63.62 71.31 34.32 203.42
567 37.60 46.40 69.59 32.82 222.85
568 37.89 80.85 154.72 37.52 127.88
569 37.74 88.04 133.05 32.44 108.27
570 37.83 78.16 160.81 38.17 147.89
571 37.93 73.38 165.78 39.47 168.63
572 37.90 84.94 141.94 36.66 123.61
573 37.95 70.48 165.12 38.83 180.77
574 37.86 37.31 73.96 28.50 208.80
575 37.97 65.82 93.78 39.30 196.98
576 38.18 75.77 153.08 39.26 160.43
577 38.12 17.98 53.69 21.84 157.35
578 38.03 52.34 72.73 37.21 224.71
579 38.04 58.36 88.02 37.72 218.47
580 38.15 61.19 86.46 35.98 215.02
581 38.27 22.18 53.93 23.57 172.41
582 38.48 8.83 32.03 15.61 94.21
583 38.32 54.87 79.76 36.91 216.43
584 38.47 26.63 55.93 25.08 191.16
585 38.62 30.09 58.72 27.88 199.28
586 38.43 34.79 67.08 28.80 208.53
587 38.46 68.00 139.91 43.47 206.76
588 38.65 50.07 70.93 34.77 217.48
589 38.67 13.79 47.61 20.97 158.83
590 38.43 42.24 71.44 33.81 232.16
591 38.45 47.93 70.56 35.85 230.72
592 38.71 32.20 63.22 28.50 201.90
593 38.67 39.76 69.33 30.83 213.06
594 38.64 89.92 117.31 39.41 91.73
595 38.66 11.30 42.15 18.63 146.03
596 38.92 44.36 76.90 35.41 217.32
597 38.88 63.33 114.22 43.11 209.50
598 38.97 24.29 54.37 24.60 171.38
