#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
rf4 14A 3 even-skipped Kruppel hunchback

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - hb>
529 34.17 34.82 164.94 25.22 179.16
530 34.22 40.95 175.11 27.13 194.93
531 34.41 20.30 123.17 21.50 142.14
532 34.39 26.95 140.30 24.42 171.65
533 34.31 53.26 180.28 27.99 197.42
534 34.38 29.31 141.64 24.25 170.93
535 34.37 68.19 136.42 28.47 182.10
536 34.32 85.24 88.57 24.14 130.88
537 34.51 11.49 102.28 17.76 116.17
538 34.52 38.74 169.83 27.84 187.06
539 34.55 77.54 107.53 27.71 158.76
540 34.54 80.43 99.76 29.06 157.02
541 34.56 50.61 161.40 27.60 180.54
542 34.53 70.76 128.80 29.13 182.32
543 34.66 24.55 132.58 23.79 155.61
544 34.69 59.30 169.41 31.37 210.21
545 34.86 83.12 90.62 27.54 135.20
546 34.59 86.42 74.29 25.26 127.66
547 34.80 88.38 78.51 24.48 116.82
548 34.80 42.96 169.92 26.79 190.71
549 34.77 63.13 162.18 29.66 197.52
550 34.87 47.95 157.82 27.17 179.10
551 34.95 36.64 170.58 27.42 190.99
552 35.07 32.82 165.75 27.00 180.36
553 34.98 55.18 164.22 30.49 201.32
554 35.03 74.76 118.44 30.44 163.95
555 35.20 22.33 123.78 21.60 149.68
556 35.18 65.11 137.13 30.38 195.90
557 35.26 57.70 164.00 31.95 210.16
558 35.34 30.60 153.86 26.70 180.22
559 35.34 45.36 151.06 28.52 171.11
560 35.33 61.21 141.49 30.74 200.36
561 35.40 14.03 112.40 20.76 124.79
562 35.43 16.76 117.55 21.47 127.92
563 35.50 67.12 125.96 31.56 197.33
564 35.42 52.36 146.39 29.31 187.27
565 35.47 69.60 118.39 31.40 187.79
566 35.55 34.76 170.01 28.22 189.67
567 35.50 40.77 159.20 28.13 183.08
568 35.53 72.45 118.74 28.58 169.73
569 35.58 90.81 56.70 23.68 83.48
570 35.64 28.35 140.86 25.29 159.42
571 35.67 19.42 119.61 22.19 136.12
572 35.76 26.07 131.54 24.31 152.47
573 35.69 78.81 99.01 31.33 152.81
574 35.79 11.11 96.37 19.27 105.24
575 35.74 85.30 94.00 30.18 133.44
576 35.81 38.49 154.81 26.86 181.85
577 35.72 50.01 142.23 28.52 181.68
578 35.93 81.50 93.93 31.07 139.06
579 35.94 76.12 105.06 32.22 160.09
580 36.05 87.65 85.62 30.39 120.66
581 36.00 43.17 147.41 27.46 168.61
582 36.03 63.09 128.94 31.88 199.42
583 36.04 56.20 137.14 29.63 194.45
584 36.11 47.49 138.84 28.81 173.34
585 36.25 23.82 122.38 24.00 151.47
586 36.14 53.89 127.03 29.36 181.57
587 36.18 59.76 131.64 33.71 205.84
588 36.42 33.19 152.04 27.76 184.04
589 36.43 36.52 163.57 30.73 201.73
590 36.47 65.42 113.87 32.16 190.54
591 36.52 21.32 118.74 25.35 147.16
592 36.46 30.85 148.65 27.16 176.35
593 36.45 68.42 107.01 30.68 188.75
594 36.52 71.02 107.21 32.58 177.58
595 36.62 73.78 106.33 32.89 162.99
596 36.60 83.16 107.62 33.26 131.55
597 36.72 45.32 134.10 29.57 177.49
598 36.73 89.58 78.25 31.55 107.52
599 36.71 17.04 100.99 23.38 118.80
