#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
ca5 14A 3 even-skipped Kruppel giant

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - gt>
435 29.05 51.52 133.13 26.92 140.73
436 29.04 55.18 140.77 26.32 145.60
437 29.14 63.71 122.43 22.80 123.35
438 29.28 74.70 114.13 20.36 92.24
439 29.35 35.76 131.27 23.95 152.75
440 29.44 15.07 100.05 13.33 96.83
441 29.44 21.48 114.76 16.68 111.97
442 29.70 8.52 84.46 9.41 65.15
443 29.48 42.28 129.96 24.93 129.20
444 29.28 80.12 98.16 15.29 65.45
445 29.53 45.89 138.44 24.66 133.66
446 29.60 53.43 157.25 25.06 142.33
447 29.73 12.38 101.56 12.37 90.57
448 29.24 61.30 127.71 22.82 104.41
449 29.55 39.91 135.56 23.78 139.50
450 29.63 57.76 149.07 25.46 135.26
451 29.73 81.37 93.63 16.28 78.24
452 29.75 65.59 134.47 23.49 117.14
453 29.71 48.06 142.49 25.62 146.00
454 29.76 69.81 125.88 22.25 106.58
455 29.83 84.18 85.02 15.99 65.04
456 29.60 11.01 107.63 11.27 78.10
457 29.86 60.34 137.12 25.10 130.88
458 29.94 31.19 139.39 22.32 130.78
459 30.04 26.30 143.87 19.65 128.73
460 30.17 72.52 118.14 21.30 105.63
461 30.14 33.87 155.17 23.43 135.22
462 30.19 77.85 95.08 18.40 81.14
463 30.20 37.66 145.60 24.19 145.54
464 30.32 67.77 117.31 22.98 105.94
465 30.38 19.89 121.30 15.94 107.39
466 30.33 23.52 138.16 18.46 116.30
467 30.36 51.48 149.91 26.68 138.65
468 30.33 55.72 155.22 25.22 138.90
469 30.33 28.86 143.68 22.05 141.41
470 30.40 44.25 140.56 24.64 139.32
471 30.48 16.28 107.54 14.91 98.72
472 30.46 62.61 117.27 23.90 126.06
473 30.59 49.44 158.16 27.20 142.32
474 30.66 41.78 153.76 24.78 135.99
475 30.78 75.18 97.52 21.17 94.39
476 30.91 13.42 104.52 12.75 93.65
477 30.82 47.10 143.64 25.76 126.29
478 30.82 58.29 140.44 25.38 130.30
479 30.97 86.43 61.52 15.46 48.29
480 30.89 39.56 149.74 24.49 139.01
481 30.94 53.71 153.42 27.71 144.87
482 30.82 65.18 113.15 24.04 116.71
483 31.11 10.52 95.40 11.51 82.60
484 31.02 35.79 149.46 24.63 134.53
485 31.05 70.17 102.91 22.39 105.16
486 31.02 80.28 80.59 18.75 73.21
487 31.24 83.22 70.49 17.12 57.76
488 31.15 32.90 149.03 23.33 119.64
489 31.25 60.56 128.31 24.99 128.57
490 31.31 27.42 135.59 20.54 129.87
491 31.39 30.46 137.48 22.61 128.83
492 31.33 18.37 125.42 16.21 107.43
493 31.45 24.77 134.58 18.84 120.54
494 31.52 7.81 70.90 10.26 60.52
495 31.53 21.56 123.04 17.18 109.60
496 31.48 73.03 90.12 22.13 91.49
497 31.61 77.44 82.41 19.76 76.18
498 31.58 55.99 141.43 27.37 131.93
499 31.68 43.46 125.72 25.90 129.34
