#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
ca1 14A 8 even-skipped Kruppel giant

#Data without background#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - gt>
587 34.73 38.51 40.20 6.93 200.34
588 35.00 17.57 49.00 2.07 146.72
589 34.87 22.23 47.10 3.91 170.74
590 35.01 49.50 26.04 5.74 191.65
591 34.86 81.43 0.00 4.06 32.57
592 35.10 59.42 5.83 7.86 141.89
593 35.03 75.38 0.00 6.55 56.57
594 35.06 72.51 1.44 8.42 87.27
595 35.28 30.05 37.92 5.42 198.38
596 35.11 41.02 25.77 7.17 209.04
597 35.19 78.21 0.00 6.03 43.09
598 35.22 56.97 10.72 7.83 165.28
599 35.32 9.34 25.35 2.23 79.92
600 35.24 24.75 42.16 4.15 168.10
601 35.36 27.37 42.56 3.91 181.47
602 35.18 85.03 3.40 7.62 37.34
603 35.30 32.46 38.98 6.81 187.82
604 35.25 82.69 2.63 8.14 43.50
605 35.34 55.00 13.52 4.83 144.17
606 35.34 12.12 35.10 3.17 127.08
