#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
fa2 14A 6 even-skipped knirps hunchback

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - kni, channel 3 - hb>
400 28.64 49.43 74.47 53.40 180.19
401 28.50 52.04 79.49 50.72 176.84
402 28.56 89.41 42.83 11.08 63.41
403 28.72 33.92 37.63 40.11 180.83
404 28.81 36.50 41.00 52.60 176.65
405 28.80 18.28 59.82 25.29 143.12
406 28.78 23.95 52.08 28.87 154.84
407 28.76 29.28 41.92 43.68 152.53
408 28.93 54.31 163.49 35.14 162.08
409 28.96 75.51 132.14 21.40 102.89
410 28.91 57.01 187.13 31.15 162.83
411 28.95 26.33 49.30 32.55 172.73
412 28.91 40.78 49.70 57.79 182.78
413 28.98 12.85 93.89 17.64 123.57
414 28.94 60.03 204.51 34.06 149.51
415 28.84 87.16 50.83 13.98 85.02
416 29.20 78.16 112.33 18.34 93.30
417 29.18 83.67 58.43 15.36 91.64
418 29.12 45.08 65.71 54.29 189.45
419 29.25 70.35 180.03 22.94 116.73
420 29.29 72.86 151.55 21.40 120.04
421 29.34 62.49 203.11 27.93 125.09
422 29.37 86.19 47.86 15.29 88.39
423 29.37 15.84 96.05 20.20 129.75
424 29.31 31.78 46.56 44.24 179.01
425 29.41 38.48 53.71 46.58 162.85
426 29.44 42.76 68.05 48.00 175.86
427 29.48 65.85 213.61 23.07 122.00
428 29.65 80.59 89.85 18.22 98.48
429 29.68 68.18 194.61 23.18 119.89
430 29.64 47.11 117.38 44.59 191.42
431 29.56 51.55 180.95 33.84 171.44
432 29.72 49.35 158.52 34.58 179.93
433 29.81 22.02 105.04 22.54 152.02
434 29.88 29.97 71.37 33.34 164.65
435 29.98 27.62 85.35 25.09 159.94
436 29.85 58.08 213.44 26.63 153.13
437 29.78 33.94 67.62 41.74 178.94
438 29.93 88.73 38.76 12.55 86.56
439 29.93 19.29 135.78 21.99 141.52
440 29.93 24.91 109.25 22.92 158.38
441 30.00 36.27 83.20 33.61 172.23
442 30.12 55.74 224.91 26.20 147.73
443 30.00 60.43 217.48 25.98 133.18
444 30.17 40.43 99.49 30.90 175.02
445 30.10 53.34 219.05 30.55 152.48
446 30.21 64.13 194.90 23.52 135.98
447 30.29 74.39 108.29 16.69 123.13
448 30.17 44.86 142.48 34.56 182.23
449 30.45 76.96 83.57 17.00 110.35
450 30.52 14.27 124.76 19.96 121.72
451 30.64 85.34 42.49 14.14 88.48
452 30.31 86.59 39.06 14.06 99.37
453 30.64 71.52 128.71 19.74 120.00
454 30.67 82.81 48.64 14.98 95.21
455 30.72 17.05 137.01 19.39 129.13
456 30.70 32.02 136.02 27.67 169.68
457 30.61 38.42 136.10 32.05 159.61
458 30.58 42.56 161.08 30.04 185.24
459 30.70 69.25 149.52 20.84 136.29
460 30.76 79.68 57.83 16.13 105.01
461 30.75 48.18 203.64 26.83 162.00
462 30.83 61.75 184.87 25.05 133.75
463 30.80 66.81 131.81 22.26 139.87
464 30.79 50.99 214.70 29.03 160.76
465 30.76 34.35 158.15 30.94 162.61
466 31.00 23.24 159.81 21.03 149.75
467 30.92 58.58 208.98 26.63 138.73
468 31.11 19.98 149.80 21.13 131.18
469 31.03 26.24 179.37 24.44 147.62
470 31.07 29.32 175.00 25.02 165.93
471 31.10 45.72 199.64 29.98 168.48
472 31.12 53.98 222.38 25.92 155.13
473 31.05 89.41 29.13 11.22 87.24
474 31.27 87.81 36.31 12.82 93.56
475 31.25 36.48 187.20 28.54 180.47
476 31.38 56.43 188.91 25.77 153.25
477 31.28 64.44 116.37 22.53 132.24
478 31.32 11.66 132.43 17.31 108.76
479 31.48 73.50 69.21 18.12 131.28
480 31.53 40.57 202.62 28.33 178.26
481 31.59 43.16 220.26 27.36 163.76
482 31.71 75.79 51.35 16.63 115.04
483 31.79 49.45 218.92 26.16 153.49
484 31.83 78.38 44.92 15.63 109.18
485 31.82 59.68 131.35 23.43 162.86
486 31.98 83.94 42.84 14.40 94.53
487 31.90 38.50 201.62 27.07 170.60
488 31.90 52.25 211.45 25.70 149.40
489 31.99 81.15 42.16 15.44 100.05
490 31.92 32.22 192.88 26.27 192.85
491 31.92 34.51 212.83 27.26 165.02
492 31.91 68.87 75.03 20.67 134.62
493 32.01 71.19 54.29 18.14 127.75
494 32.11 13.81 127.69 18.11 116.43
495 32.03 47.27 210.87 25.76 154.77
496 32.02 61.78 107.87 22.72 147.99
497 32.07 16.54 139.13 19.04 130.99
498 32.08 21.65 166.42 21.68 123.16
499 32.14 27.60 191.67 23.78 148.07
500 32.14 24.92 180.25 21.45 134.74
501 32.09 66.47 72.90 20.15 135.85
502 32.43 86.93 39.59 13.54 90.01
503 32.34 89.90 44.47 10.92 83.49
504 32.31 30.05 210.19 24.43 162.10
505 32.34 44.83 201.26 28.43 169.76
506 32.28 54.86 146.32 24.20 151.02
507 32.48 19.02 140.02 19.28 138.26
508 32.42 10.12 96.19 16.80 112.31
509 32.37 63.96 70.30 22.01 157.82
510 32.50 57.78 115.45 23.64 158.61
511 32.60 36.56 205.41 25.14 150.92
512 32.45 41.62 212.82 28.05 159.37
513 32.71 50.87 161.46 26.06 178.90
514 32.77 73.60 45.04 18.37 116.80
515 32.81 76.56 43.76 16.43 119.13
516 32.99 33.41 207.96 25.87 172.59
517 32.97 38.97 189.04 26.34 158.22
518 33.09 23.06 148.11 20.42 143.80
519 33.16 48.87 130.47 27.79 176.82
520 33.13 53.23 106.42 25.37 169.57
521 33.30 60.47 61.78 22.22 150.77
522 33.20 67.67 48.47 20.84 128.39
523 33.19 79.59 48.24 16.03 111.06
524 33.15 46.66 184.22 27.80 184.33
525 33.24 70.27 46.39 19.06 133.83
526 33.17 43.36 187.19 25.51 145.22
527 33.23 65.26 50.06 21.44 132.14
528 33.35 82.44 62.98 15.41 103.70
529 33.42 31.20 183.98 23.20 159.32
530 33.35 62.84 50.33 22.00 156.95
531 33.35 25.66 160.63 20.87 154.08
532 33.39 28.24 176.48 22.85 152.26
533 33.53 11.23 66.68 16.13 123.43
534 33.42 14.11 89.36 17.60 122.01
535 33.52 20.77 104.85 19.78 142.44
536 33.32 41.16 178.52 21.24 182.22
537 33.46 55.73 67.28 23.47 155.22
538 33.19 77.45 40.92 16.12 100.96
539 33.49 16.88 83.06 17.82 127.67
540 33.47 91.40 71.57 11.30 82.86
541 33.64 85.14 82.00 14.87 100.95
542 33.56 35.37 179.64 23.73 158.47
543 33.59 58.25 58.00 22.17 154.94
544 33.85 8.69 50.19 14.84 99.07
545 33.71 88.63 83.17 12.49 95.09
546 33.85 51.22 93.09 26.55 157.38
547 33.97 37.34 135.67 22.73 168.28
548 33.88 45.22 125.96 25.57 196.99
549 33.93 75.25 45.71 17.54 124.45
550 33.91 72.35 44.50 18.18 123.15
