#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
kf6 14A 6 even-skipped knirps giant

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - kni, channel 3 - gt>
453 28.25 18.70 29.51 33.71 116.21
454 28.15 69.56 204.64 34.07 146.53
455 28.33 84.73 72.46 20.05 104.24
456 28.27 57.01 148.04 56.32 148.56
457 28.39 67.05 213.15 34.75 144.56
458 28.31 49.98 50.67 72.69 153.75
459 28.34 38.46 36.14 63.44 134.56
460 28.52 25.74 28.04 44.31 114.14
461 28.45 76.46 127.65 25.42 124.50
462 28.61 40.51 33.25 67.83 140.48
463 28.53 28.19 32.39 57.53 127.42
464 28.68 21.24 34.32 39.11 116.58
465 28.73 82.05 83.01 21.67 115.44
466 28.70 64.35 217.51 35.93 145.14
467 28.78 10.09 32.70 27.89 92.02
468 28.92 59.05 216.71 40.09 151.97
469 28.93 16.53 39.62 32.93 116.72
470 28.84 51.86 106.73 56.69 166.38
471 28.99 61.60 218.27 34.29 155.24
472 28.93 12.91 39.66 29.35 105.43
473 28.99 36.47 42.51 57.60 141.34
474 28.94 55.11 174.33 49.43 152.24
475 28.97 71.29 198.41 31.75 135.74
476 29.04 47.45 81.81 69.20 159.94
477 29.02 45.16 58.03 66.05 146.97
478 29.00 42.65 49.38 77.97 164.49
479 29.22 31.80 42.05 62.71 131.13
480 29.18 23.54 48.51 51.23 130.11
481 29.28 34.15 43.53 58.18 134.19
482 29.35 29.62 42.88 52.16 140.12
483 29.22 74.29 144.00 26.06 139.47
484 29.28 78.26 94.97 26.40 130.38
485 29.34 68.28 202.68 32.93 163.86
486 29.33 49.59 98.96 57.62 167.24
487 29.41 38.95 48.00 62.76 155.63
488 29.52 57.13 220.73 39.41 174.31
489 29.55 19.23 71.69 34.71 124.40
490 29.63 52.92 207.86 41.80 176.20
491 29.75 65.95 194.99 30.84 154.97
492 29.80 27.64 53.22 45.64 151.73
493 29.63 84.65 45.26 21.20 92.21
494 29.75 63.51 214.08 34.70 171.99
495 29.84 25.39 68.28 40.66 143.19
496 29.96 14.38 93.34 24.21 123.91
497 29.77 43.58 99.47 70.81 175.44
498 30.07 75.86 99.34 27.03 132.09
499 30.00 81.20 55.01 25.49 108.43
500 30.02 41.21 75.64 73.93 177.82
501 30.04 70.23 168.06 28.43 164.10
502 30.01 88.17 28.44 17.97 58.72
503 30.03 11.20 100.02 22.75 112.96
504 30.07 21.73 118.61 35.03 135.38
505 30.03 59.59 230.67 37.03 183.32
506 30.19 45.83 203.05 48.21 167.58
507 30.12 55.14 217.80 38.41 169.45
508 30.23 72.76 138.06 27.67 142.54
509 30.11 36.39 77.56 54.66 151.44
510 30.18 48.09 188.94 44.44 169.56
511 30.35 17.15 142.77 27.42 139.50
512 30.28 50.61 215.95 39.48 186.68
513 30.30 30.87 86.79 51.16 162.52
514 30.28 33.42 90.02 50.48 157.50
515 30.38 61.68 201.56 34.07 191.07
516 30.52 78.15 76.05 24.17 128.21
517 30.39 38.77 109.78 51.75 158.43
518 30.51 23.49 158.50 31.52 141.70
519 30.58 68.33 147.66 29.46 160.83
520 30.74 85.71 43.82 19.21 82.08
521 30.65 57.48 222.25 34.83 185.60
522 30.73 53.32 230.79 37.46 181.43
523 30.68 43.72 205.22 43.78 172.63
524 30.80 64.25 158.20 32.58 170.23
525 30.86 87.04 34.75 19.76 65.41
526 30.95 19.72 156.52 27.28 143.62
527 31.14 9.19 127.37 19.57 108.71
528 30.91 83.95 45.42 20.92 90.00
529 31.04 26.56 162.91 32.67 151.24
530 31.13 29.21 179.08 33.38 164.40
531 31.14 39.99 196.00 43.31 169.06
532 31.15 66.43 95.89 30.63 170.95
533 31.20 12.15 152.08 22.73 123.81
534 31.00 24.33 168.80 31.63 141.52
535 31.17 34.87 183.61 38.60 166.89
536 31.14 59.81 205.28 34.73 216.68
537 31.30 15.00 163.61 24.09 144.51
538 31.27 37.27 184.23 40.33 164.83
539 31.26 46.65 221.59 37.98 182.79
540 31.22 49.11 228.54 39.05 193.98
541 31.39 42.26 226.16 41.77 188.15
542 31.37 51.43 229.50 38.43 194.01
543 31.32 71.07 86.51 28.37 153.47
544 31.29 74.31 71.56 25.66 127.85
545 31.32 32.08 182.15 36.28 169.26
546 31.32 55.86 186.79 31.84 199.29
547 31.37 80.28 53.95 24.35 104.91
548 31.49 22.24 215.39 27.83 192.45
549 31.32 89.02 26.02 15.46 40.07
550 31.53 62.05 147.79 32.81 189.74
551 31.73 44.42 229.35 38.26 192.51
552 31.82 17.57 177.99 24.84 151.02
553 31.65 77.46 54.68 25.43 105.50
554 31.73 68.69 71.80 28.66 154.44
555 31.78 53.72 192.81 33.40 183.27
556 31.86 58.03 152.90 34.30 203.94
557 31.96 64.44 91.20 28.25 178.41
558 31.95 85.09 56.13 22.06 61.57
559 32.07 24.65 191.09 27.20 167.52
560 31.97 86.74 43.67 19.21 53.53
561 32.06 27.96 208.64 32.54 175.92
562 31.96 88.78 35.32 16.28 41.72
563 32.27 20.17 187.68 27.44 166.94
564 32.28 38.66 224.57 37.07 189.37
565 32.13 47.86 216.26 38.21 200.56
566 32.15 82.78 53.64 24.00 73.13
567 32.25 33.85 215.02 34.16 183.63
568 32.24 40.96 227.70 36.24 196.68
569 32.42 36.22 216.00 35.41 180.09
570 32.32 50.09 200.14 35.10 204.52
571 32.37 60.03 94.71 33.19 199.30
572 32.35 72.39 56.59 26.94 129.56
573 32.18 10.23 129.85 19.09 121.96
574 32.35 30.85 211.55 31.06 169.19
575 32.48 66.72 64.67 30.80 157.81
576 32.47 75.31 56.85 26.56 111.47
577 32.40 12.93 147.17 21.10 141.42
578 32.41 55.90 133.40 33.52 202.66
579 32.61 45.82 212.70 36.05 201.24
580 32.61 52.39 161.21 33.00 207.56
581 32.62 79.84 56.93 26.00 81.28
582 32.80 15.67 150.42 22.39 156.68
583 32.76 62.15 70.67 34.27 174.97
584 32.78 69.49 54.18 29.20 145.72
585 32.74 42.90 219.09 38.00 187.89
586 32.82 22.54 184.42 27.84 163.19
587 32.88 26.52 213.33 28.27 192.49
588 32.92 90.35 44.47 15.65 20.91
589 32.85 86.63 80.65 22.22 39.65
590 32.91 88.14 72.63 18.00 32.55
591 33.07 57.95 74.23 33.81 194.39
592 33.12 8.04 95.43 17.67 115.91
593 33.19 54.37 90.28 31.51 214.37
594 33.25 18.11 139.58 23.02 164.03
595 33.23 28.94 209.95 30.65 189.24
596 33.19 64.49 55.13 31.58 156.16
597 33.13 48.21 156.20 33.34 210.46
598 33.33 84.41 94.94 21.64 43.40
599 33.27 33.22 203.13 33.28 185.20
600 33.34 77.32 60.39 26.42 84.28
601 33.31 40.24 213.98 38.84 196.04
602 33.35 37.96 207.40 36.58 207.46
603 33.43 73.89 56.31 25.20 103.32
604 33.28 82.46 78.82 23.64 62.04
605 33.52 24.70 170.82 27.94 196.41
606 33.44 50.31 127.99 40.60 216.73
